"Covariate","Top 100 Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Top100"
"Food.Code34",-0.356674943938732,-1.25359655023824,0.209988685759815,"None",0,53,0
"Food.Code35",-1.14164460458478,-21.5481083039805,5.51547207080986e-103,"1%",0.0574712643678161,1992,5
"Food.Code36",-1.04769219824085,-6.18010353143285,6.40595774645649e-10,"1%",0,181,0
"Food.Code37",-0.586049045003577,-3.75790982256509,0.000171338602757892,"1%",0.310344827586207,195,9
"Food.Code38",-0.942801857422489,-9.25844607968572,2.07428904641719e-20,"1%",0,486,0
"Food.Code39",0.0281708769666957,0.167830722013565,0.866716452622288,"None",0,144,0
"Food.Code40",0.328504066972036,1.50289201685045,0.132866891974762,"None",0,87,0
"Food.Code41",0.108213584640232,1.22964930702125,0.218828457469338,"None",0,523,0
"Food.Code42",0,0,1,"None",0,17,0
"Food.Code43",-1.69773051957978,-5.62768736915439,1.826417245625e-08,"1%",0,84,0
"Food.Code44",-0.510825623765991,-1.21152934370758,0.225692595516593,"None",0,25,0
"Food.Code45",-2.30258509299405,-2.1954287447244,0.0281328570479118,"5%",0,11,0
"Food.Code46",-0.659245628884264,-6.8748288642938,6.20643212828208e-12,"1%",0,491,0
"Food.Code48",-0.549107810337012,-4.84875610883251,1.24238055897898e-06,"1%",0,349,0
"Food.Code49",0.643314806812068,4.41953864893247,9.89118316105193e-06,"1%",0.0338983050847458,215,2
"Food.Code50",0.405465108108164,0.444164771984225,0.656923459709192,"None",0,5,0
"Food.Code51",-0.606135803570316,-2.06860739244357,0.0385829436728409,"5%",0,52,0
"Food.Code52",-1.21302263984585,-3.53220167820562,0.000412114923050983,"1%",0,50,0
"Food.Code53",0.451985123743057,1.32205112149212,0.186151128385111,"None",0.5,38,1
"Food.Code54",-0.182321556793955,-0.301094141447358,0.763342708313776,"None",0,11,0
"Food.Code55",-1.08334481653732,-4.39212915125199,1.12245985094417e-05,"1%",0,88,0
"Food.Code56",-0.325422400434628,-0.89407618310177,0.371281131358988,"None",1,32,1
"Food.Code57",-0.966440515559626,-4.86632604854974,1.13691898811733e-06,"1%",0,130,0
"Food.Code58",-0.891526174249804,-19.7930353912021,3.41822066779479e-87,"1%",0.0792682926829268,2437,13
"Food.Code59",-0.613104472886409,-3.98103432061345,6.86160401075049e-05,"1%",0,186,0
"Food.Code60",-1.38629436111989,-1.23993937131549,0.214997820000257,"None",0,5,0
"Food.Code61",-1.33500106673234,-3.75623532250894,0.000172488511917694,"1%",0,50,0
"Food.Code62",13.5660664933669,0.0253376606479292,0.979785634712432,"None",0,1,0
"Food.Code63",0.0425596144187963,0.145853983400705,0.884036658935505,"None",0,47,0
"Food.Code64",-0.487143139122431,-3.71721564163815,0.000201430504917084,"1%",0,250,0
"Food.Code65",-0.559615787935423,-0.892837929046494,0.37194397128717,"None",0,11,0
"Food.Code66",-0.334749583309766,-2.32842121527082,0.0198897482116751,"5%",0.111111111111111,201,1
"Food.Code67",-1.11185751541813,-4.82242241798343,1.41825198881815e-06,"1%",0,104,0
"Food.Code68",-0.860201265223112,-4.14231249529567,3.4382143409578e-05,"1%",0,113,0
"Food.Code69",-0.336472236621213,-1.40756435209742,0.159260109379726,"None",0,73,0
"Food.Code70",0.231801614057324,0.830190388063072,0.40643114885159,"None",0,53,0
"Food.Code71",-1.76234558402177,-7.80831932342415,5.7955599296038e-15,"1%",0,159,0
"Food.Code72",-0.805133098532001,-8.80343579433168,1.32690097601139e-18,"1%",0.0714285714285714,567,1
"Food.Code73",-0.0606246218164346,-0.246145285694016,0.805569768309237,"None",0,66,0
"Food.Code74",0.693147180559945,5.42842379090373,5.68539125159111e-08,"1%",0,280,0
"Food.Code75",-1.83827948486295,-4.51753796181005,6.25628142987322e-06,"1%",0,51,0
"Food.Code76",-0.772483922796488,-16.3389738467767,5.21227464856652e-60,"1%",0.0340909090909091,2096,3
"Food.Code77",-0.76894101992947,-10.1300825119287,4.06306438560666e-24,"1%",0.464285714285714,853,26
"Food.Code78",-0.570014495156321,-4.12537942643928,3.70124051469059e-05,"1%",0.1,230,1
"Food.Code79",-0.773189888233483,-3.8373577692053,0.000124365221393778,"1%",0.25,119,2
"Food.Code80",-1.37596724696404,-10.5042285471153,8.25953429538253e-26,"1%",0,369,0
"Food.Code81",-1.27928231742358,-11.371595582762,5.79190173861402e-30,"1%",0,469,0
"Food.Code82",-0.376477571234915,-2.4256268455355,0.0152819742837887,"5%",0,172,0
"Food.Code83",-0.770108221696074,-3.1835017912118,0.00145505213055128,"10%",0,80,0
"Food.Code84",-0.954161005929568,-6.12086807493096,9.30669353015566e-10,"1%",0.166666666666667,209,1
"Food.Code85",0.318453731118535,0.685347569907024,0.4931246204798,"None",0,19,0
"Food.Code86",-0.379489621704903,-1.49103689018933,0.135951809830778,"None",0,66,0
"Food.Code87",-0.539943022336718,-4.02604655403893,5.67224635734976e-05,"1%",0,239,0
"Food.Code88",0.0786730320724781,0.950687769939788,0.341762898423771,"None",0.037037037037037,600,2
"Food.Code89",-0.22314355131421,-0.743811837714033,0.456990317552397,"None",0,46,0
"Food.Code90",-1.69644928942373,-5.17229963082995,2.31230398475806e-07,"1%",0.0833333333333333,75,1
"Food.Code91",-1.09861228866811,-1.90285230179269,0.0570598203643371,"None",0,16,0
"Food.Code92",-0.498991166118988,-1.62289370857284,0.104612128717794,"None",0,47,0
"Food.Code93",0.32593195458578,2.59323568793887,0.00950775893076821,"10%",0,269,0
"Food.Code94",0.336472236621213,0.812657657585165,0.416414364181193,"None",0,24,0
"Food.Code95",13.5660664933762,0.0506753212956612,0.959584242129121,"None",0,4,0
"Food.Code96",-1.79175946922805,-1.65884693056913,0.0971466407595114,"None",0,7,0
"Food.Code97",-1.28093384546206,-2.53386829622838,0.0112811122800805,"5%",0,23,0
"Food.Code98",-1.52605630349505,-3.0927189942396,0.00198331838830475,"10%",0.666666666666667,30,2
"Food.Code99",-1.06881166098881,-12.8107489324502,1.427500869574e-37,"1%",0.0714285714285714,761,2
"Food.Code100",-1.79175946922806,-3.70929450101945,0.000207837567814754,"1%",0,35,0
"Food.Code101",-0.521296923633285,-1.79991445011533,0.0718741476198373,"None",0,51,0
"Food.Code102",-0.31015492830384,-0.78132907294463,0.43460897505552,"None",0,28,0
"Food.Code103",-0.805065096763929,-4.12552956579922,3.6988265864939e-05,"1%",0,125,0
"Food.Code104",-0.416198663751266,-7.61803576748135,2.57564937862019e-14,"1%",0.369565217391304,1465,34
"Food.Code105",0.293547191904178,2.04839298827336,0.0405215080293953,"5%",0,201,0
"Food.Code106",-0.48809737268843,-6.27824375107088,3.42418799516565e-10,"1%",0.177777777777778,731,8
"Food.Code107",-0.317017980692429,-6.36632053087764,1.93616606305552e-10,"1%",0.182608695652174,1826,21
"Food.Code108",-0.824595025118005,-44.895993213621,0,"1%",0.187120291616039,14942,462
"Food.Code109",0.51082562376599,0.6994767927207,0.484254111335149,"None",0,9,0
"Food.Code110",-1.50407739677627,-1.9240222706819,0.0543517919925068,"None",0,12,0
"Food.Code111",-0.109698917256423,-0.661752851126133,0.508129627368724,"None",0.666666666666667,150,2
"Food.Code112",-0.693147180559946,-0.80037742256863,0.423492157921493,"None",0,6,0
"Food.Code113",-0.301475394584118,-1.67960949757873,0.0930333185768326,"None",0,129,0
"Food.Code114",-0.631271776841858,-2.55016956429307,0.0107670537254556,"5%",0,72,0
"Food.Code115",-0.885038188370052,-3.79685450890948,0.000146543738080533,"1%",0.142857142857143,90,1
"Food.Code116",-0.746171648868164,-6.17624347920772,6.56447277969281e-10,"1%",0.0952380952380952,319,2
"Food.Code117",-13.5660664933747,-0.0253376606478456,0.979785634712498,"None",0,1,0
"Food.Code118",1.81528996663825,4.453938878243,8.430911054015e-06,"1%",0,51,0
"Food.Code119",13.5660664933682,0.0438861155871281,0.964995182794569,"None",0,3,0
"Food.Code120",-0.0763729787845737,-0.756466047582914,0.449369821480705,"None",0.04,401,1
"Food.Code122",-0.682565071229408,-5.42240023053779,5.88040365104899e-08,"1%",0.5,293,4
"Food.Code123",-0.682394388783687,-7.60553054304574,2.83737482439242e-14,"1%",0.225806451612903,572,7
"Food.Code124",-1.65161283748482,-12.1975917829446,3.20152963505738e-34,"1%",0.210526315789474,419,4
"Food.Code125",-1.00330210886379,-2.84640547882238,0.00442158536030475,"10%",0.75,45,3
"Food.Code126",-0.287682072451781,-0.376664249454874,0.706423134097083,"None",0,7,0
"Food.Code127",-0.641853886172394,-2.3234266924015,0.0201562415579718,"5%",0.2,61,1
"Food.Code128",-0.693147180559946,-0.80037742256863,0.423492157921493,"None",0,6,0
"Food.Code129",-0.346276236717834,-1.42713348552408,0.153541422196134,"None",0.181818181818182,74,2
"Food.Code130",0,0,1,"None",0,5,0
"Food.Code132",-0.574914403497285,-5.42207366553509,5.89115935803942e-08,"1%",0.107142857142857,392,3
"Food.Code133",0.510825623765991,0.699476792720701,0.484254111335149,"None",0,8,0
"Food.Code135",-1.01592057282299,-3.98905343190862,6.63374792198966e-05,"1%",0,82,0
"Food.Code136",-0.328504066972036,-1.06270513650608,0.287915690769828,"None",0,43,0
"Food.Code138",0.324861075693535,2.46274563175322,0.0137877694435234,"5%",0.4,244,2
"Food.Code139",-2.02438176449681,-5.03389028990253,4.80624803509397e-07,"1%",0.333333333333333,65,1
"Food.Code140",-1.94591014905531,-1.8202322708028,0.0687236406488201,"None",0,8,0
"Food.Code141",0.34484048629173,1.53840754031887,0.123948999747971,"None",1,86,2
"Food.Code142",-0.693147180559945,-0.800377422568629,0.423492157921493,"None",0,6,0
"Food.Code143",0.154150679827258,0.391844189566494,0.695173342116271,"None",0,26,0
"Food.Code144",-2.00334219814122,-14.3216630789673,1.60242093633436e-46,"1%",0,497,0
"Food.Code145",-0.0813088740722355,-1.20911055942462,0.226620372977164,"None",0.0344827586206897,898,1
"Food.Code146",-0.405465108108164,-0.444164771984225,0.656923459709192,"None",0,5,0
"Food.Code147",-0.390866308687012,-1.44775204169054,0.147686409652701,"None",0,59,0
"Food.Code148",-0.250610946014822,-2.36223444213666,0.0181651505773374,"5%",0,372,0
"Food.Code149",-13.5660664933747,-0.0670371488783471,0.946552129175715,"None",0,7,0
"Food.Code150",-1.03245361841702,-10.8945182385698,1.2241268468242e-27,"1%",0.166666666666667,592,6
"Food.Code151",-0.914051089280648,-16.3275548366145,6.28534067576832e-60,"1%",0.266666666666667,1620,24
"Food.Code152",-0.670841423045647,-4.49989230126491,6.79878994126718e-06,"1%",0,207,0
"Food.Code153",-13.5660664933747,-0.0716657266539817,0.942867932169796,"None",0,8,0
"Food.Code154",-0.693147180559944,-3.83847527370241,0.00012380067849293,"1%",0,139,0
"Food.Code155",13.5660664933681,0.0438861155871317,0.964995182794566,"None",0,3,0
"Food.Code156",-0.693147180559945,-0.565952303006888,0.571426204958315,"None",0,3,0
"Food.Code157",0.287682072451781,0.376664249454873,0.706423134097083,"None",0,8,0
"Food.Code158",-0.0870113769896305,-0.551503292058589,0.581288710557671,"None",0,164,0
"Food.Code159",-0.810930216216328,-1.90843799845342,0.0563346295657281,"None",0,26,0
"Food.Code160",-1.14862270924278,-8.06917483002057,7.0774860300344e-16,"1%",0.0555555555555556,278,1
"Food.Code161",-1.20397280432594,-1.82896598375849,0.0674047042521893,"None",0,13,0
"Food.Code162",0,0,1,"None",0,2,0
"Food.Code163",-0.999072677847169,-16.8025222728858,2.33883265622894e-63,"1%",0.181818181818182,1474,10
"Food.Code164",-1.46633706879343,-3.23758458525392,0.0012054619860965,"10%",0,32,0
"Food.Code165",0.223143551314209,0.576154172035676,0.564510978132912,"None",0,27,0
"Food.Code167",-2.484906649788,-3.37632327785777,0.000734615477777413,"1%",0,27,0
"Food.Code168",-0.0689928714869513,-0.262560787886138,0.792889126593307,"None",0.25,59,1
"Food.Code1:Is_Industry_Top1001",13.6995978860915,0.0361855655366254,0.971134395485607,"None",0.5,231,2
"Food.Code2:Is_Industry_Top1001",0.541888926823099,1.1523273409879,0.249186585931758,"None",0.131034482758621,949,19
"Food.Code3:Is_Industry_Top1001",NA,NA,NA,"None",0,375,0
"Food.Code4:Is_Industry_Top1001",NA,NA,NA,"None",0,16,0
"Food.Code5:Is_Industry_Top1001",1.20213571233989,4.17906707030268,2.92707359884392e-05,"1%",0.235849056603774,2899,50
"Food.Code6:Is_Industry_Top1001",NA,NA,NA,"None",0,19,0
"Food.Code7:Is_Industry_Top1001",NA,NA,NA,"None",0,26,0
"Food.Code8:Is_Industry_Top1001",NA,NA,NA,"None",0,5,0
"Food.Code10:Is_Industry_Top1001",NA,NA,NA,"None",0,13,0
"Food.Code11:Is_Industry_Top1001",NA,NA,NA,"None",0,10,0
"Food.Code12:Is_Industry_Top1001",NA,NA,NA,"None",0,326,0
"Food.Code13:Is_Industry_Top1001",0.147485862126484,0.447495434808702,0.654517383318725,"None",0.398230088495575,637,45
"Food.Code14:Is_Industry_Top1001",NA,NA,NA,"None",0,237,0
"Food.Code15:Is_Industry_Top1001",0.636042289882126,1.17516336140587,0.239929365295489,"None",0.0933333333333333,3942,14
"Food.Code16:Is_Industry_Top1001",-13.1014537127625,-0.0346056516699534,0.972394194819814,"None",0.0476190476190476,246,2
"Food.Code17:Is_Industry_Top1001",-0.823361820558492,-0.733763770671233,0.463092724706664,"None",0.142857142857143,489,5
"Food.Code18:Is_Industry_Top1001",NA,NA,NA,"None",0,44,0
"Food.Code19:Is_Industry_Top1001",NA,NA,NA,"None",0,39,0
"Food.Code20:Is_Industry_Top1001",NA,NA,NA,"None",0,84,0
"Food.Code21:Is_Industry_Top1001",0.496469603694565,1.47664800447684,0.1397700166502,"None",0.147368421052632,3767,42
"Food.Code22:Is_Industry_Top1001",NA,NA,NA,"None",0,41,0
"Food.Code23:Is_Industry_Top1001",14.0452491773964,0.0262326407807908,0.979071781256763,"None",0.0909090909090909,325,1
"Food.Code24:Is_Industry_Top1001",13.6838495290382,0.0361439657463629,0.971167565617447,"None",0.5,109,2
"Food.Code25:Is_Industry_Top1001",13.9244640906279,0.0260070469195004,0.979251717724357,"None",0.111111111111111,145,1
"Food.Code26:Is_Industry_Top1001",NA,NA,NA,"None",0,240,0
"Food.Code27:Is_Industry_Top1001",-12.5172865784585,-0.0330626549259749,0.973624623509045,"None",0.142857142857143,188,2
"Food.Code28:Is_Industry_Top1001",NA,NA,NA,"None",0,27,0
"Food.Code29:Is_Industry_Top1001",-0.370678992022754,-0.460084580383647,0.645455511524771,"None",0.310344827586207,799,9
"Food.Code30:Is_Industry_Top1001",NA,NA,NA,"None",0,75,0
"Food.Code31:Is_Industry_Top1001",NA,NA,NA,"None",0,48,0
"Food.Code32:Is_Industry_Top1001",NA,NA,NA,"None",0,200,0
"Food.Code33:Is_Industry_Top1001",NA,NA,NA,"None",0,333,0
"Food.Code34:Is_Industry_Top1001",NA,NA,NA,"None",0,53,0
"Food.Code35:Is_Industry_Top1001",0.736179496476571,0.805089437896851,0.420768070345037,"None",0.0574712643678161,1992,5
"Food.Code36:Is_Industry_Top1001",NA,NA,NA,"None",0,181,0
"Food.Code37:Is_Industry_Top1001",14.1521155383878,0.0792966843193081,0.936796643528785,"None",0.310344827586207,195,9
"Food.Code38:Is_Industry_Top1001",NA,NA,NA,"None",0,486,0
"Food.Code39:Is_Industry_Top1001",NA,NA,NA,"None",0,144,0
"Food.Code40:Is_Industry_Top1001",NA,NA,NA,"None",0,87,0
"Food.Code41:Is_Industry_Top1001",NA,NA,NA,"None",0,523,0
"Food.Code42:Is_Industry_Top1001",NA,NA,NA,"None",0,17,0
"Food.Code43:Is_Industry_Top1001",NA,NA,NA,"None",0,84,0
"Food.Code44:Is_Industry_Top1001",NA,NA,NA,"None",0,25,0
"Food.Code45:Is_Industry_Top1001",NA,NA,NA,"None",0,11,0
"Food.Code46:Is_Industry_Top1001",NA,NA,NA,"None",0,491,0
"Food.Code48:Is_Industry_Top1001",NA,NA,NA,"None",0,349,0
"Food.Code49:Is_Industry_Top1001",12.9227516865559,0.0341336349040542,0.97277058732957,"None",0.0338983050847458,215,2
"Food.Code50:Is_Industry_Top1001",NA,NA,NA,"None",0,5,0
"Food.Code51:Is_Industry_Top1001",NA,NA,NA,"None",0,52,0
"Food.Code52:Is_Industry_Top1001",NA,NA,NA,"None",0,50,0
"Food.Code53:Is_Industry_Top1001",13.1140813696414,0.0244934724352014,0.980458990396643,"None",0.5,38,1
"Food.Code54:Is_Industry_Top1001",NA,NA,NA,"None",0,11,0
"Food.Code55:Is_Industry_Top1001",NA,NA,NA,"None",0,88,0
"Food.Code56:Is_Industry_Top1001",-13.2406440929384,-0.0247298558819025,0.980270440808627,"None",1,32,1
"Food.Code57:Is_Industry_Top1001",NA,NA,NA,"None",0,130,0
"Food.Code58:Is_Industry_Top1001",1.22799841087097,2.091028951253,0.0365254688118324,"5%",0.0792682926829268,2437,13
"Food.Code59:Is_Industry_Top1001",NA,NA,NA,"None",0,186,0
"Food.Code60:Is_Industry_Top1001",NA,NA,NA,"None",0,5,0
"Food.Code61:Is_Industry_Top1001",NA,NA,NA,"None",0,50,0
"Food.Code62:Is_Industry_Top1001",NA,NA,NA,"None",0,1,0
"Food.Code63:Is_Industry_Top1001",NA,NA,NA,"None",0,47,0
"Food.Code64:Is_Industry_Top1001",NA,NA,NA,"None",0,250,0
"Food.Code65:Is_Industry_Top1001",NA,NA,NA,"None",0,11,0
"Food.Code66:Is_Industry_Top1001",-13.2313169100657,-0.0247124401070244,0.980284332341066,"None",0.111111111111111,201,1
"Food.Code67:Is_Industry_Top1001",NA,NA,NA,"None",0,104,0
"Food.Code68:Is_Industry_Top1001",NA,NA,NA,"None",0,113,0
"Food.Code69:Is_Industry_Top1001",NA,NA,NA,"None",0,73,0
"Food.Code70:Is_Industry_Top1001",NA,NA,NA,"None",0,53,0
"Food.Code71:Is_Industry_Top1001",NA,NA,NA,"None",0,159,0
"Food.Code72:Is_Industry_Top1001",-12.7609333948661,-0.0238338943235689,0.980985103962061,"None",0.0714285714285714,567,1
"Food.Code73:Is_Industry_Top1001",NA,NA,NA,"None",0,66,0
"Food.Code74:Is_Industry_Top1001",NA,NA,NA,"None",0,280,0
"Food.Code75:Is_Industry_Top1001",NA,NA,NA,"None",0,51,0
"Food.Code76:Is_Industry_Top1001",14.3385504161953,0.046385094298101,0.963003316752263,"None",0.0340909090909091,2096,3
"Food.Code77:Is_Industry_Top1001",1.5798712361458,3.66011732434364,0.000252099792047167,"1%",0.464285714285714,853,26
"Food.Code78:Is_Industry_Top1001",-12.9960519982159,-0.0242730303944759,0.980634825418627,"None",0.1,230,1
"Food.Code79:Is_Industry_Top1001",14.3392563816152,0.0378751306883549,0.969787241653514,"None",0.25,119,2
"Food.Code80:Is_Industry_Top1001",NA,NA,NA,"None",0,369,0
"Food.Code81:Is_Industry_Top1001",NA,NA,NA,"None",0,469,0
"Food.Code82:Is_Industry_Top1001",NA,NA,NA,"None",0,172,0
"Food.Code83:Is_Industry_Top1001",NA,NA,NA,"None",0,80,0
"Food.Code84:Is_Industry_Top1001",-12.6119054874514,-0.0235555507541593,0.981207127662747,"None",0.166666666666667,209,1
"Food.Code85:Is_Industry_Top1001",NA,NA,NA,"None",0,19,0
"Food.Code86:Is_Industry_Top1001",NA,NA,NA,"None",0,66,0
"Food.Code87:Is_Industry_Top1001",NA,NA,NA,"None",0,239,0
"Food.Code88:Is_Industry_Top1001",-0.0786730320724842,-0.0555352367272834,0.955712058405596,"None",0.037037037037037,600,2
"Food.Code89:Is_Industry_Top1001",NA,NA,NA,"None",0,46,0
"Food.Code90:Is_Industry_Top1001",-11.8696172039528,-0.0221691583518602,0.982313019611628,"None",0.0833333333333333,75,1
"Food.Code91:Is_Industry_Top1001",NA,NA,NA,"None",0,16,0
"Food.Code92:Is_Industry_Top1001",NA,NA,NA,"None",0,47,0
"Food.Code93:Is_Industry_Top1001",NA,NA,NA,"None",0,269,0
"Food.Code94:Is_Industry_Top1001",NA,NA,NA,"None",0,24,0
"Food.Code95:Is_Industry_Top1001",NA,NA,NA,"None",0,4,0
"Food.Code96:Is_Industry_Top1001",NA,NA,NA,"None",0,7,0
"Food.Code97:Is_Industry_Top1001",NA,NA,NA,"None",0,23,0
"Food.Code98:Is_Industry_Top1001",1.52605630349505,1.01884853262075,0.308274880860918,"None",0.666666666666667,30,2
"Food.Code99:Is_Industry_Top1001",1.06881166098881,0.754452233477974,0.450577717243759,"None",0.0714285714285714,761,2
"Food.Code100:Is_Industry_Top1001",NA,NA,NA,"None",0,35,0
"Food.Code101:Is_Industry_Top1001",NA,NA,NA,"None",0,51,0
"Food.Code102:Is_Industry_Top1001",NA,NA,NA,"None",0,28,0
"Food.Code103:Is_Industry_Top1001",NA,NA,NA,"None",0,125,0
"Food.Code104:Is_Industry_Top1001",-1.59870435679099,-2.98774639411745,0.0028104265431004,"10%",0.369565217391304,1465,34
"Food.Code105:Is_Industry_Top1001",NA,NA,NA,"None",0,201,0
"Food.Code106:Is_Industry_Top1001",-1.45781277636688,-1.36006726997942,0.173808637311141,"None",0.177777777777778,731,8
"Food.Code107:Is_Industry_Top1001",1.01016516125237,2.16968875991591,0.0300304321271661,"5%",0.182608695652174,1826,21
"Food.Code108:Is_Industry_Top1001",0.859686344929364,9.00604068188876,2.13629946158133e-19,"1%",0.187120291616039,14942,462
"Food.Code109:Is_Industry_Top1001",NA,NA,NA,"None",0,9,0
"Food.Code110:Is_Industry_Top1001",NA,NA,NA,"None",0,12,0
"Food.Code111:Is_Industry_Top1001",13.6757654106361,0.036122614179509,0.971184590585337,"None",0.666666666666667,150,2
"Food.Code112:Is_Industry_Top1001",NA,NA,NA,"None",0,6,0
"Food.Code113:Is_Industry_Top1001",NA,NA,NA,"None",0,129,0
"Food.Code114:Is_Industry_Top1001",NA,NA,NA,"None",0,72,0
"Food.Code115:Is_Industry_Top1001",-12.6810283050014,-0.0236846518159497,0.981104148649309,"None",0.142857142857143,90,1
"Food.Code116:Is_Industry_Top1001",0.746171648868195,0.525708233555772,0.599090942236425,"None",0.0952380952380952,319,2
"Food.Code117:Is_Industry_Top1001",NA,NA,NA,"None",0,1,0
"Food.Code118:Is_Industry_Top1001",NA,NA,NA,"None",0,51,0
"Food.Code119:Is_Industry_Top1001",NA,NA,NA,"None",0,3,0
"Food.Code120:Is_Industry_Top1001",-13.4896935145876,-0.0251950165957862,0.979899411876453,"None",0.04,401,1
"Food.Code122:Is_Industry_Top1001",-0.416047217438698,-0.358185390336507,0.720204579748776,"None",0.5,293,4
"Food.Code123:Is_Industry_Top1001",0.970076461235458,1.26145370715733,0.207145428708719,"None",0.225806451612903,572,7
"Food.Code124:Is_Industry_Top1001",-11.9144536558899,-0.0445058035162131,0.964501226025624,"None",0.210526315789474,419,4
"Food.Code125:Is_Industry_Top1001",0.310154928303839,0.243362277748882,0.807724763462658,"None",0.75,45,3
"Food.Code126:Is_Industry_Top1001",NA,NA,NA,"None",0,7,0
"Food.Code127:Is_Industry_Top1001",-12.9242126072027,-0.0241388518737129,0.980741853028847,"None",0.2,61,1
"Food.Code128:Is_Industry_Top1001",NA,NA,NA,"None",0,6,0
"Food.Code129:Is_Industry_Top1001",13.9123427300849,0.0367474959280837,0.970686337922208,"None",0.181818181818182,74,2
"Food.Code130:Is_Industry_Top1001",NA,NA,NA,"None",0,5,0
"Food.Code132:Is_Industry_Top1001",-0.118232777062663,-0.0961768976612831,0.923380078739534,"None",0.107142857142857,392,3
"Food.Code133:Is_Industry_Top1001",NA,NA,NA,"None",0,8,0
"Food.Code135:Is_Industry_Top1001",NA,NA,NA,"None",0,82,0
"Food.Code136:Is_Industry_Top1001",NA,NA,NA,"None",0,43,0
"Food.Code138:Is_Industry_Top1001",13.2412054176781,0.0349747862026792,0.972099846264636,"None",0.4,244,2
"Food.Code139:Is_Industry_Top1001",15.5904482578652,0.0291186377474442,0.976769971327192,"None",0.333333333333333,65,1
"Food.Code140:Is_Industry_Top1001",NA,NA,NA,"None",0,8,0
"Food.Code141:Is_Industry_Top1001",13.2212260070744,0.0349220093918077,0.972141930358788,"None",1,86,2
"Food.Code142:Is_Industry_Top1001",NA,NA,NA,"None",0,6,0
"Food.Code143:Is_Industry_Top1001",NA,NA,NA,"None",0,26,0
"Food.Code144:Is_Industry_Top1001",NA,NA,NA,"None",0,497,0
"Food.Code145:Is_Industry_Top1001",-13.484757619316,-0.0251857979577174,0.979906764952098,"None",0.0344827586206897,898,1
"Food.Code146:Is_Industry_Top1001",NA,NA,NA,"None",0,5,0
"Food.Code147:Is_Industry_Top1001",NA,NA,NA,"None",0,59,0
"Food.Code148:Is_Industry_Top1001",NA,NA,NA,"None",0,372,0
"Food.Code149:Is_Industry_Top1001",NA,NA,NA,"None",0,7,0
