"Covariate","All Companies","T_Value","P_Value","Significance","Industry_Concentration","N_Sample","N_Industry"
"Food.Code143",-0.788457360364271,-2.53197954305986,0.0113420608170685,"5%",0,76,0
"Food.Code144",-1.96944064646549,-16.9090312864982,3.86000982371992e-64,"1%",0,965,21
"Food.Code145",-0.12937065082877,-2.25741311124575,0.0239822732101288,"5%",0.0344827586206897,1803,29
"Food.Code146",-0.287682072451781,-0.376664249454873,0.706423134097083,"None",0,9,1
"Food.Code147",-0.422856850820034,-2.02611247089588,0.0427532604205314,"5%",0,127,1
"Food.Code148",-0.394553074657183,-4.47146025724642,7.76872985789368e-06,"1%",0,859,11
"Food.Code149",-13.5660664933748,-0.076012981943538,0.93940876998328,"None",0,13,0
"Food.Code150",-1.12236637467621,-14.0596671232372,6.72015636637321e-45,"1%",0.166666666666667,1294,36
"Food.Code151",-0.988097726225508,-21.2384342654019,4.21713360145673e-100,"1%",0.266666666666667,3951,90
"Food.Code152",-0.716031474393535,-6.09876892111417,1.06888455538078e-09,"1%",0,440,6
"Food.Code153",-1.50407739677627,-1.9240222706819,0.0543517919925067,"None",0,12,0
"Food.Code154",-0.889520490809556,-5.4519649206686,4.98162844999387e-08,"1%",0,264,7
"Food.Code155",1.09861228866811,0.951426150896346,0.341388090434242,"None",0,7,0
"Food.Code156",-0.693147180559945,-0.565952303006888,0.571426204958315,"None",0,3,0
"Food.Code157",0.117783035656383,0.242395487626313,0.808473730495038,"None",0,29,1
"Food.Code158",3.74589636892238e-18,2.54059052566224e-17,1,"None",0,206,1
"Food.Code159",-0.693147180559945,-2.19192384429341,0.0283850060390405,"5%",0,80,4
"Food.Code160",-1.13176449598501,-9.28451405299255,1.62446746354315e-20,"1%",0.0555555555555556,545,18
"Food.Code161",-1.09861228866811,-1.90285230179269,0.0570598203643371,"None",0,29,0
"Food.Code162",-13.5660664933747,-0.043886115587008,0.964995182794664,"None",0,4,1
"Food.Code163",-1.09673787387373,-21.9433168414974,1.00312763137335e-106,"1%",0.181818181818182,3168,55
"Food.Code164",-1.33500106673234,-3.75623532250894,0.000172488511917698,"1%",0,91,3
"Food.Code165",0.194156014440957,0.537970522953602,0.590597399111663,"None",0,42,0
"Food.Code166",-13.5660664933747,-0.0253376606478458,0.979785634712498,"None",0,2,0
"Food.Code167",-2.30258509299405,-3.80259413025983,0.000143188834065521,"1%",0,45,0
"Food.Code168",-0.287682072451781,-1.40934857130649,0.158732123174858,"None",0.25,135,4
"Food.Code1:Is_Industry1",0.185836498900447,0.184650219752315,0.85350339350533,"None",0.5,474,4
"Food.Code2:Is_Industry1",-0.592605951338054,-2.7307888451526,0.00631829389062405,"10%",0.131034482758621,2353,145
"Food.Code3:Is_Industry1",-0.568790164211439,-0.676081804565757,0.498988708337065,"None",0,681,7
"Food.Code4:Is_Industry1",NA,NA,NA,"None",0,51,0
"Food.Code5:Is_Industry1",0.41544973878083,2.59289421698362,0.00951720386347515,"10%",0.235849056603774,6613,212
"Food.Code6:Is_Industry1",NA,NA,NA,"None",0,50,0
"Food.Code7:Is_Industry1",NA,NA,NA,"None",0,41,0
"Food.Code8:Is_Industry1",NA,NA,NA,"None",0,13,0
